amount,payment_method_type,payment_method,Stripe_outcome,Adyen_outcome,chosen_processor,chosen_network,final_outcome,savings,best_possible_processor,best_possible_network,best_possible_savings
322.77,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6855927500000014,Adyen,ACCEL,9.766578749999997
994.61,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.1962270000000004,Adyen,ACCEL,13.486525
124.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.586849000000001,Adyen,ACCEL,11.310175000000001
795.37,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
803.97,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
731.72,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.0122040000000005,Adyen,ACCEL,12.8293
327.82,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6884964999999994,Adyen,ACCEL,9.7785725
821.14,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
803.18,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.062225999999999,Adyen,ACCEL,13.007950000000001
601.27,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8457302500000026,Adyen,ACCEL,10.428016249999999
583.25,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8353687499999971,Adyen,ACCEL,10.385218749999996
824.52,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
551.55,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8171412499999988,Adyen,ACCEL,10.309931249999998
176.48,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
522.13,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
869.62,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
716.21,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.001346999999999,Adyen,ACCEL,12.790524999999995
295.61,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.7069270000000003,Adyen,ACCEL,11.739024999999998
910.29,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.1372029999999995,Adyen,ACCEL,13.275724999999998
757.1,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,Adyen,STAR,success,0.9353324999999977,Adyen,ACCEL,10.798112499999998
973.25,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,1.0596187500000056,Adyen,ACCEL,11.311468750000003
327.55,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.7292850000000044,Adyen,ACCEL,11.818875
779.64,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
324.04,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
935.15,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.1546050000000037,Adyen,ACCEL,13.337875000000004
114.68,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
562.26,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
722.96,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
562.64,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
715.5,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.00085,Adyen,ACCEL,12.788749999999997
626.72,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
155.36,['CARD'],['VISA'],fail,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
296.91,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6707232499999982,Adyen,ACCEL,9.705161249999998
293.17,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6685727500000027,Adyen,ACCEL,9.696278750000001
752.49,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.932681750000004,Adyen,ACCEL,10.787163750000001
19.09,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
233.25,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
312.37,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
553.66,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.8875620000000026,Adyen,ACCEL,12.384150000000002
992.02,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.194414000000002,Adyen,ACCEL,13.480050000000002
773.29,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.0413029999999956,Adyen,ACCEL,12.933224999999993
7.87,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
45.69,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.5319830000000003,Adyen,ACCEL,11.114225000000001
356.69,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.749683000000001,Adyen,ACCEL,11.891725000000001
243.93,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
67.95,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
75.06,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
247.99,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6425942499999984,Adyen,ACCEL,9.58897625
465.48,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",fail,success,Adyen,STAR,success,2.8258360000000025,Adyen,ACCEL,12.1637
644.28,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
859.48,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,3.1016360000000027,Adyen,ACCEL,13.148700000000005
869.52,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
895.26,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
194.99,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
390.54,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.724560499999999,Adyen,ACCEL,9.927532499999998
536.58,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
309.55,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
294.21,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
252.12,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6449689999999997,Adyen,ACCEL,9.598785000000003
439.96,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.7529770000000049,Adyen,ACCEL,10.044905000000004
28.07,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,2.519649000000001,Adyen,ACCEL,11.070174999999999
873.82,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,1.002446500000005,Adyen,ACCEL,11.075322500000006
31.78,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
944.83,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,1.0432772499999956,Adyen,ACCEL,11.243971249999994
986.2,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,1.0670650000000066,Adyen,ACCEL,11.342225000000003
14.39,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
200.82,['CARD'],['VISA'],success,fail,Adyen,VISA,fail,0.0,Stripe,VISA,0.0
517.98,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
584.77,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
604.46,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.8475645000000007,Adyen,ACCEL,10.435592499999998
602.93,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,fail,Adyen,STAR,fail,0.8466847499999943,Stripe,VISA,0.0
762.14,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Stripe,VISA,success,0.0,Adyen,ACCEL,10.810082500000004
417.3,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Stripe,VISA,success,0.0,Adyen,ACCEL,9.991087499999999
473.13,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
297.03,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,Stripe,VISA,fail,0.0,Adyen,ACCEL,9.705446249999998
967.92,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
859.39,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,11.041051249999999,Adyen,ACCEL,11.041051249999999
394.54,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
81.07,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.19254125,Adyen,ACCEL,9.19254125
156.52,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,11.391300000000001
301.45,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.71594375,Adyen,ACCEL,9.71594375
194.43,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
60.64,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,9.144019999999998,Adyen,ACCEL,9.144019999999998
927.87,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,11.203691249999999,Adyen,ACCEL,11.203691249999999
784.41,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.862973750000002,Adyen,ACCEL,10.862973750000002
813.56,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
607.2,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.4421,Adyen,ACCEL,10.4421
491.45,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,12.228625
517.17,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.228278750000001,Adyen,ACCEL,10.228278750000001
585.44,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
237.22,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
978.54,['CARD'],['VISA'],success,fail,Adyen,VISA,fail,0.0,Stripe,VISA,0.0
389.11,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
698.28,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,12.745699999999996
431.51,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
779.38,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
429.23,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.01942125,Adyen,ACCEL,10.01942125
428.83,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
654.69,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,12.636725000000002
693.05,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
412.44,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,12.031100000000002
756.09,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
18.22,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
743.56,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,ACCEL,success,10.765954999999998,Adyen,ACCEL,10.765954999999998
909.43,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,13.273575000000001
823.65,['CARD'],"['VISA', 'ACCEL', 'STAR']",fail,success,Adyen,ACCEL,success,10.956168749999996,Adyen,ACCEL,10.956168749999996
726.91,['CARD'],['VISA'],success,fail,Stripe,VISA,success,0.0,Stripe,VISA,0.0
481.33,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,fail,Adyen,ACCEL,fail,10.143158750000001,Stripe,VISA,0.0
729.34,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
167.58,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.5963585000000009,Adyen,ACCEL,9.3980025
994.96,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,13.487400000000001
38.52,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
980.11,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
175.26,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
636.4,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
671.73,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
89.96,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
697.27,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,12.743175
669.23,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
314.66,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
269.85,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
165.97,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
275.6,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,11.688999999999998
758.76,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
734.91,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
842.81,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.9846157500000032,Adyen,ACCEL,11.001673750000002
328.62,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,11.821549999999998
916.65,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,13.291624999999996
38.4,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,11.095999999999998
807.57,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Stripe,MASTERCARD,success,0.0,Adyen,ACCEL,13.018924999999996
895.66,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,1.0150045000000034,Adyen,ACCEL,11.127192500000003
72.23,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.5415322499999995,Adyen,ACCEL,9.17154625
459.07,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
885.04,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
704.51,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
709.85,['CARD'],['MASTERCARD'],success,success,Stripe,MASTERCARD,success,0.0,Stripe,MASTERCARD,0.0
374.34,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
956.56,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,13.3914
616.48,['CARD'],['MASTERCARD'],success,success,Adyen,MASTERCARD,success,0.0,Adyen,MASTERCARD,0.0
507.83,['CARD'],"['MASTERCARD', 'ACCEL', 'STAR']",success,success,Adyen,MASTERCARD,success,0.0,Adyen,ACCEL,12.269575
322.08,['CARD'],['VISA'],fail,fail,Stripe,VISA,fail,0.0,,,0.0
123.99,['CARD'],['VISA'],success,success,Adyen,VISA,success,0.0,Adyen,VISA,0.0
277.18,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
621.02,['CARD'],['VISA'],success,success,Stripe,VISA,success,0.0,Stripe,VISA,0.0
206.18,['CARD'],"['VISA', 'ACCEL', 'STAR']",success,success,Adyen,STAR,success,0.6185534999999973,Adyen,ACCEL,9.489677499999997
